#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2454 2.6063E-04 2.6063E-04  -1.80   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=13.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 105  0.735083  3.8060  4.3717  0.1100  5.5476  4.7597  4.4965  4.4336  4.4468
 106  0.737929  3.8074  4.3578  0.1310  5.4925  4.7036  4.4447  4.3841  4.3990
 107  0.740685  3.8086  4.3436  0.1518  5.4383  4.6482  4.3933  4.3348  4.3513
 108  0.743359  3.8098  4.3291  0.1725  5.3850  4.5933  4.3424  4.2858  4.3037
 109  0.745958  3.8109  4.3144  0.1931  5.3324  4.5389  4.2917  4.2370  4.2563
 110  0.748488  3.8118  4.2993  0.2135  5.2807  4.4851  4.2414  4.1884  4.2089
 111  0.750951  3.8127  4.2840  0.2338  5.2299  4.4319  4.1913  4.1400  4.1615
 112  0.751651  3.8129  4.2796  0.2396  5.2151  4.4165  4.1769  4.1259  4.1478
 113  0.752349  3.8132  4.2750  0.2456  5.2001  4.4008  4.1621  4.1116  4.1339
 114  0.753043  3.8135  4.2705  0.2515  5.1853  4.3852  4.1475  4.0974  4.1199
 115  0.753732  3.8138  4.2660  0.2576  5.1699  4.3692  4.1324  4.0829  4.1058
 116  0.754418  3.8141  4.2616  0.2637  5.1543  4.3529  4.1172  4.0682  4.0915
 117  0.755101  3.8144  4.2572  0.2699  5.1387  4.3365  4.1020  4.0535  4.0772
 118  0.755781  3.8148  4.2528  0.2763  5.1227  4.3196  4.0865  4.0386  4.0629
 119  0.756457  3.8152  4.2484  0.2825  5.1069  4.3029  4.0708  4.0237  4.0485
 120  0.757131  3.8156  4.2439  0.2890  5.0906  4.2858  4.0551  4.0086  4.0338
 121  0.757802  3.8160  4.2393  0.2954  5.0745  4.2687  4.0392  3.9933  4.0189
 122  0.758469  3.8163  4.2345  0.3019  5.0582  4.2515  4.0231  3.9777  4.0038
 123  0.759133  3.8165  4.2295  0.3085  5.0418  4.2342  4.0067  3.9619  3.9884
 124  0.759792  3.8168  4.2242  0.3151  5.0254  4.2168  3.9901  3.9458  3.9726
 125  0.760446  3.8171  4.2187  0.3218  5.0088  4.1993  3.9734  3.9293  3.9564
 126  0.761094  3.8172  4.2128  0.3286  4.9922  4.1818  3.9563  3.9126  3.9398
 127  0.761736  3.8173  4.2067  0.3355  4.9754  4.1640  3.9391  3.8956  3.9229
 128  0.762374  3.8174  4.2005  0.3425  4.9585  4.1461  3.9217  3.8783  3.9058
 129  0.763007  3.8175  4.1942  0.3495  4.9416  4.1282  3.9041  3.8609  3.8885
 130  0.763637  3.8175  4.1877  0.3566  4.9244  4.1100  3.8863  3.8433  3.8710
 131  0.764261  3.8175  4.1811  0.3637  4.9072  4.0918  3.8684  3.8255  3.8534
 132  0.764881  3.8176  4.1744  0.3709  4.8899  4.0735  3.8503  3.8077  3.8354
 133  0.765496  3.8176  4.1673  0.3782  4.8726  4.0551  3.8320  3.7894  3.8173
 134  0.766104  3.8175  4.1602  0.3855  4.8551  4.0365  3.8136  3.7710  3.7988
 135  0.766707  3.8174  4.1528  0.3929  4.8376  4.0179  3.7950  3.7523  3.7800
 136  0.767303  3.8173  4.1451  0.4003  4.8199  3.9993  3.7761  3.7333  3.7609
 137  0.767891  3.8171  4.1371  0.4079  4.8022  3.9805  3.7571  3.7141  3.7415
 138  0.768473  3.8169  4.1290  0.4155  4.7844  3.9617  3.7378  3.6946  3.7217
 139  0.769048  3.8166  4.1207  0.4232  4.7666  3.9428  3.7184  3.6749  3.7017
 140  0.769615  3.8163  4.1120  0.4309  4.7486  3.9237  3.6988  3.6549  3.6814
 141  0.770173  3.8159  4.1030  0.4387  4.7306  3.9047  3.6790  3.6346  3.6607
 142  0.770724  3.8155  4.0938  0.4466  4.7126  3.8857  3.6590  3.6140  3.6396
 143  0.771265  3.8151  4.0843  0.4546  4.6945  3.8666  3.6386  3.5930  3.6181
 144  0.771796  3.8145  4.0745  0.4626  4.6763  3.8474  3.6181  3.5717  3.5962
 145  0.772318  3.8139  4.0643  0.4706  4.6581  3.8283  3.5974  3.5501  3.5738
 146  0.772829  3.8132  4.0537  0.4788  4.6399  3.8091  3.5763  3.5281  3.5510
 147  0.773330  3.8125  4.0429  0.4870  4.6216  3.7901  3.5550  3.5056  3.5277
 148  0.773819  3.8117  4.0316  0.4952  4.6033  3.7711  3.5335  3.4829  3.5039
 149  0.774298  3.8108  4.0199  0.5035  4.5850  3.7520  3.5117  3.4597  3.4796
 150  0.774763  3.8098  4.0078  0.5118  4.5669  3.7332  3.4898  3.4362  3.4550
 151  0.775217  3.8087  3.9951  0.5203  4.5490  3.7145  3.4678  3.4125  3.4299
 152  0.775657  3.8074  3.9820  0.5287  4.5316  3.6959  3.4458  3.3888  3.4048
 153  0.776085  3.8061  3.9683  0.5373  4.5146  3.6775  3.4239  3.3648  3.3792
 154  0.776500  3.8046  3.9542  0.5458  4.4981  3.6592  3.4018  3.3406  3.3533
 155  0.776901  3.8030  3.9395  0.5544  4.4821  3.6413  3.3796  3.3162  3.3272
 156  0.777289  3.8013  3.9242  0.5629  4.4666  3.6237  3.3575  3.2914  3.3003
 157  0.777662  3.7993  3.9079  0.5715  4.4519  3.6067  3.3352  3.2663  3.2729
 158  0.778023  3.7973  3.8913  0.5801  4.4374  3.5899  3.3130  3.2411  3.2453
 159  0.778370  3.7949  3.8737  0.5887  4.4240  3.5740  3.2909  3.2156  3.2170
 160  0.778705  3.7926  3.8559  0.5972  4.4111  3.5583  3.2687  3.1898  3.1886
 161  0.779029  3.7901  3.8374  0.6058  4.3992  3.5432  3.2463  3.1637  3.1595
 162  0.779294  3.7872  3.8189  0.6130  4.3930  3.5326  3.2270  3.1401  3.1324
 163  0.779557  3.7841  3.7995  0.6203  4.3885  3.5227  3.2074  3.1156  3.1044
 164  0.779816  3.7809  3.7791  0.6276  4.3857  3.5135  3.1875  3.0904  3.0754
 165  0.780075  3.7777  3.7591  0.6352  4.3829  3.5036  3.1673  3.0651  3.0463
 166  0.780333  3.7748  3.7399  0.6429  4.3786  3.4925  3.1470  3.0404  3.0182
 167  0.780589  3.7720  3.7209  0.6509  4.3740  3.4808  3.1266  3.0155  2.9901
 168  0.780841  3.7688  3.7002  0.6589  4.3725  3.4704  3.1056  2.9894  2.9601
