#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2451 6.6505E-05 6.6505E-05  -2.45   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=13.500 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 144  0.763494  3.8221  4.0537  0.5088  4.5404  3.7294  3.5231  3.4862  3.5170
 145  0.763985  3.8215  4.0429  0.5175  4.5200  3.7086  3.5006  3.4627  3.4929
 146  0.764467  3.8209  4.0318  0.5262  4.4996  3.6878  3.4777  3.4389  3.4682
 147  0.764936  3.8201  4.0203  0.5351  4.4790  3.6671  3.4546  3.4146  3.4430
 148  0.765393  3.8193  4.0083  0.5439  4.4584  3.6464  3.4313  3.3900  3.4173
 149  0.765838  3.8183  3.9959  0.5529  4.4381  3.6257  3.4080  3.3653  3.3915
 150  0.766271  3.8173  3.9828  0.5619  4.4179  3.6054  3.3849  3.3405  3.3655
 151  0.766691  3.8161  3.9693  0.5710  4.3981  3.5851  3.3617  3.3156  3.3391
 152  0.767097  3.8148  3.9552  0.5800  4.3784  3.5649  3.3383  3.2904  3.3124
 153  0.767490  3.8134  3.9406  0.5892  4.3590  3.5449  3.3150  3.2651  3.2853
 154  0.767868  3.8118  3.9255  0.5984  4.3399  3.5251  3.2914  3.2393  3.2578
 155  0.768233  3.8101  3.9098  0.6076  4.3209  3.5056  3.2676  3.2130  3.2296
 156  0.768583  3.8083  3.8935  0.6169  4.3022  3.4864  3.2437  3.1865  3.2009
 157  0.768919  3.8063  3.8765  0.6262  4.2839  3.4675  3.2198  3.1596  3.1717
 158  0.769241  3.8043  3.8590  0.6355  4.2657  3.4490  3.1959  3.1327  3.1422
 159  0.769549  3.8021  3.8409  0.6448  4.2479  3.4309  3.1720  3.1054  3.1123
 160  0.769844  3.7997  3.8224  0.6541  4.2306  3.4132  3.1481  3.0780  3.0821
 161  0.770127  3.7972  3.8033  0.6634  4.2142  3.3958  3.1242  3.0505  3.0516
 162  0.770334  3.7952  3.7885  0.6704  4.2023  3.3829  3.1060  3.0294  3.0281
 163  0.770537  3.7931  3.7729  0.6776  4.1908  3.3702  3.0874  3.0075  3.0037
 164  0.770739  3.7908  3.7563  0.6850  4.1799  3.3578  3.0682  2.9846  2.9780
 165  0.770937  3.7881  3.7385  0.6925  4.1703  3.3463  3.0482  2.9604  2.9505
 166  0.771132  3.7852  3.7193  0.7000  4.1620  3.3355  3.0277  2.9350  2.9215
 167  0.771323  3.7822  3.6998  0.7076  4.1539  3.3243  3.0075  2.9101  2.8931
 168  0.771513  3.7793  3.6803  0.7155  4.1460  3.3126  2.9872  2.8853  2.8648
 169  0.771700  3.7765  3.6611  0.7235  4.1382  3.3003  2.9665  2.8602  2.8364
 170  0.771884  3.7736  3.6418  0.7317  4.1314  3.2881  2.9453  2.8344  2.8071
 171  0.772064  3.7708  3.6220  0.7400  4.1248  3.2758  2.9238  2.8082  2.7775
 172  0.772240  3.7680  3.6026  0.7485  4.1172  3.2625  2.9021  2.7821  2.7480
 173  0.772412  3.7654  3.5836  0.7574  4.1081  3.2481  2.8799  2.7559  2.7187
 174  0.772580  3.7631  3.5651  0.7665  4.0981  3.2325  2.8571  2.7294  2.6894
 175  0.772742  3.7608  3.5469  0.7759  4.0869  3.2158  2.8338  2.7027  2.6600
 176  0.772899  3.7588  3.5290  0.7855  4.0747  3.1980  2.8098  2.6755  2.6304
 177  0.773050  3.7569  3.5116  0.7954  4.0618  3.1794  2.7853  2.6479  2.6004
 178  0.773195  3.7551  3.4944  0.8055  4.0481  3.1599  2.7600  2.6197  2.5702
 179  0.773334  3.7534  3.4777  0.8158  4.0344  3.1399  2.7340  2.5909  2.5392
